StoreID,Date,ProductCategory,SalesAmount,Customers,Profit
1,2023-01-01,Fruits,1025,59,348.1780887096116
1,2023-01-01,Dairy,1713,51,543.386699259392
1,2023-01-01,Bakery,1996,88,514.1135720275837
1,2023-01-01,Snacks,1822,85,630.4486908254071
1,2023-01-01,Beverages,908,73,334.57720956930984
2,2023-01-01,Fruits,1481,68,373.1980334165103
2,2023-01-01,Dairy,1265,72,266.0365141378881
2,2023-01-01,Bakery,1619,63,610.85249673077
2,2023-01-01,Snacks,1920,51,533.8334675804393
2,2023-01-01,Beverages,1660,NA,480.67263050798573
3,2023-01-01,Fruits,1531,99,448.02856182538835
3,2023-01-01,Dairy,1520,98,535.3332633473437
3,2023-01-01,Bakery,574,84,128.7137832432899
3,2023-01-01,Snacks,702,70,167.68998860811166
3,2023-01-01,Beverages,1615,83,447.5834290327677
4,2023-01-01,Fruits,1233,68,399.1333749673183
4,2023-01-01,Dairy,1651,63,348.37139060977984
4,2023-01-01,Bakery,806,60,197.64185851817118
4,2023-01-01,Snacks,1952,NA,591.3735796714523
4,2023-01-01,Beverages,1539,66,426.4346766541877
5,2023-01-01,Fruits,520,58,150.4950810058265
5,2023-01-01,Dairy,1632,67,387.77504243268163
5,2023-01-01,Bakery,1312,84,470.77299118324373
5,2023-01-01,Snacks,1726,92,437.1751381551168
5,2023-01-01,Beverages,1046,88,286.1439286596101
6,2023-01-01,Fruits,1618,NA,594.8555196438506
6,2023-01-01,Dairy,1270,75,409.3110505433765
6,2023-01-01,Bakery,1538,93,529.3271632478528
6,2023-01-01,Snacks,543,68,160.131719954238
6,2023-01-01,Beverages,920,77,229.1371540953049
7,2023-01-01,Fruits,617,58,166.58704269944914
7,2023-01-01,Dairy,1737,81,623.4712237543677
7,2023-01-01,Bakery,1748,54,681.385330836957
7,2023-01-01,Snacks,1500,NA,421.8677760578408
7,2023-01-01,Beverages,1621,50,552.7846507537375
8,2023-01-01,Fruits,1757,86,388.8546436441638
8,2023-01-01,Dairy,1887,74,743.186900159191
8,2023-01-01,Bakery,907,91,225.8843867401813
8,2023-01-01,Snacks,1139,83,285.6388052151232
8,2023-01-01,Beverages,1153,NA,460.68443234333404
9,2023-01-01,Fruits,976,95,229.18384651427687
9,2023-01-01,Dairy,1996,80,514.8891577116884
9,2023-01-01,Bakery,1029,75,205.97497550150743
9,2023-01-01,Snacks,1542,96,565.8496209320067
9,2023-01-01,Beverages,1747,96,407.73925113077803
10,2023-01-01,Fruits,1648,65,521.9908782994289
10,2023-01-01,Dairy,536,83,116.39337412550385
10,2023-01-01,Bakery,1923,NA,656.2341641658143
10,2023-01-01,Snacks,863,66,286.8269453847705
10,2023-01-01,Beverages,1025,57,244.4153733032933
1,2023-01-02,Fruits,1439,76,431.3412060551772
1,2023-01-02,Dairy,987,80,391.7696656352741
1,2023-01-02,Bakery,1274,53,485.2390472944794
1,2023-01-02,Snacks,1891,54,390.4136907859253
